"MainField"	"Subfield"	"Affiliation_type"	"RecId"	"NameID"	"Title/Qualifier"	"FullName"	"Chinese"	"Pinyin"	"University"	"Degree"	"Year"	"Page"	"PDF"
"Engineering"	"Engineering Research"	"Education"	"R00134"	"N00124"	"Late"	"C. Yang"	"楊銓"	"Yang Quan"	"Harvard"	"M.A."		105	128
"Engineering"	"River Conservancy"	"Education"	"R00018"	"N00017"		"Woodson Wang"	"汪胡植"	"Wang Huzhi"	"Cornell"	"M.C.E."		94	117
"Engineering"	"Municipal Works"	"Education"	"R00085"	"N00078"		"S. C. Shen"	"沈叔成"	"Shen Shucheng"				99	122
"Engineering"	"Municipal Works"	"Education"	"R00081"	"N00074"		"Shen Yi"	"沈怡"	"Shen Yi"	"M.I.T."	"Postgraduate"		99	122
"Engineering"	"Engineering Research"	"Education"	"R00147"	"N00137"		"T. H. Shen"	"沈慈暉"	"Shen Cihui"	"Cornell"	"M.S."		105	128
"Engineering"	"River Conservancy"	"Education"	"R00022"	"N00021"		"Bazin Shen"	"沈百先"	"Shen Baixian"	"Iowa"	"M.C.E."		94	117
"Engineering"	"Chemical Engineering"	"Education"	"R00033"	"N00030"		"C. N. Shen"	"沈鎭南"	"Shen Zhennan"	"M.I.T."	"M.S."		95	118
"Engineering"	"Electrical Communication"	"Education"	"R00119"	"N00111"		"Pinlu Shen"	"沈魯周"	"Shen Luzhou"	"Harvard"	"M.S."		103	126
"Engineering"	"Chemical Engineering"	"Education"	"R00035"	"N00032"		"S. Y. Fung"	"洪紹譽"	"Hong Shaoyu"	"M.I.T."	"B.S."		95	118
"Engineering"	"Electrical Communication"	"Education"	"R00113"	"N00106"		"Y. C. Wen"	"温毓慶"	"Wen Yuqing"	"Harvard"	"Ph.D."		103	126
"Engineering"	"Engineering Research"	"Education"	"R00153"	"N00143"	"Dr."	"Li-Chi Pan"	"潘履潔"	"Pan Lüjie"	"Columbia"	"Ph.D."		106	129
"Engineering"	"Electrical Power Engineering"	"Education"	"R00097"	"N00090"		"M. H. Pai"	"潘銘新"	"Pan Mingxin"	"M.I.T."	"B.S."		101	124
"Engineering"	"Aeronautical Engineering"	"Education"	"R00049"	"N00044"		"Tsoo Wong"	"王助"	"Wang Zhu"	"M.I.T."	"M.S."		96	119
"Engineering"	"Aeronautical Engineering"	"Education"	"R00052"	"N00047"	"Lt. Col."	"S. C. Wang"	"王士倬"	"Wang Shizhuo"	"M.I.T."	"M.S."		97	120
"Engineering"	"Electrical Communication"	"Education"	"R00110"	"N00103"		"C. C. Wang"	"王崇植"	"Wang Chongzhi"	"M.I.T."	"M.S."		102	125
"Engineering"	"Aeronautical Engineering"	"Education"	"R00051"	"N00046"	"Col."	"C. F. Wang"	"王承献"	"Wang Chengxian"	"Michigan"	"M.S."		97	120
"Engineering"	"Textile Engineering"	"Education"	"R00096"	"N00089"		"Y. C. Wang"	"王榮吉"	"Wang Rongji"	"Lowell Textile School"	"B.S."		101	124
"Engineering"	"Mining Engineering"	"Education"	"R00038"	"N00035"		"C. F. Wang"	"王正频"	"Wang Zhengbin"	"Columbia"	"M.A."		95	118
"Engineering"	"Architecture"	"Education"	"R00077"	"N00070"		"P. Y. Loo"	"盧炳玉"	"Lu Bingyu"	"M.I.T."	"B.S."		99	122
"Engineering"	"Electrical Manufacture"	"Education"	"R00132"	"N00123"		"Tsu Y. Lu"	"盧祖詒"	"Lu Zudai"	"M.I.T."	"B.S."		104	127
"Engineering"	"Mechanical Engineering"	"Education"	"R00061"	"N00056"		"W. P. Lo"	"盧維溥"	"Lu Weipu"	"M.I.T."	"M.S."		97	120
"Engineering"	"Electrical Communication"	"Education"	"R00118"	"N00110"		"Y. K. Chow"	"秉玉坤"	"Bing Yukun"	"Harvard"	"M.S."		103	126
"Engineering"	"Mining Engineering"	"Education"	"R00047"	"N00042"		"Chin Yui"	"秦瑜"	"Qin Yu"	"Columbia"	"M.E."		96	119
"Engineering"	"Municipal Works"	"Education"	"R00078"	"N00071"		"T. K. Cheng"	"程天固"	"Cheng Tiangu"	"California"	"M.A."		99	122
"Engineering"	"Railway Engineering"	"Education"	"R00005"	"N00005"		"H. K. Cheng"	"程孝剛"	"Cheng Xiaogang"	"Purdue"	"M.E."		93	116
"Engineering"	"Mining Engineering"	"Education"	"R00042"	"N00038"		"Chen I. Fang"	"程義法"	"Cheng Yifa"	"Columbia"	"M.E."		96	119
"Engineering"	"Architecture"	"Education"	"R00073"	"N00066"		"Chuin Tung"	"童齋"	"Tong Zhai"	"Pennsylvania"	"M.Arch."		98	121
"Engineering"	"Railway Engineering"	"Education"	"R00015"	"N00014"		"Y. Lo"	"羅英"	"Luo Ying"	"Cornell"	"M.C.E."		93	116
"Engineering"	"Mining Engineering"	"Education"	"R00040"	"N00037"		"P. Y. Hu"	"胡僮淵"	"Hu Tongyuan"	"M.I.T."	"B.S."		96	119
"Engineering"	"Mining Engineering"	"Education"	"R00041"	"N00037"		"P. Y. Hu"	"胡僮淵"	"Hu Tongyuan"	"Pittsburgh"	"M.S."		96	119
"Engineering"	"Electrical Manufacture"	"Education"	"R00129"	"N00120"		"J. T. Hu"	"胡汝鼎"	"Hu Ruding"	"M.I.T."	"B.S."		104	127
"Engineering"	"Electrical Communication"	"Education"	"R00115"	"N00108"		"Z. H. Hu"	"胡瑞祥"	"Hu Ruixiang"	"Harvard"	"M.S."		103	126
"Engineering"	"Architecture"	"Education"	"R00075"	"N00068"		"Robert Fan"	"范文照"	"Fan Wenzhao"	"Pennsylvania"	"M.Arch."		98	121
"Engineering"	"Railway Engineering"	"Education"	"R00014"	"N00013"		"Thomson E. S. Mao"	"茅以昇"	"Mao Yisheng"	"Carnegie Institute of Technology"	"Ph.D."		93	116
"Engineering"	"Naval Construction"	"Education"	"R00090"	"N00083"		"Chi-Foo Yeh"	"葉在馥"	"Ye Zaifu"	"M.I.T."	"B.S."		100	123
"Engineering"	"Railway Engineering"	"Education"	"R00006"	"N00006"		"Chia-Tsun Yeh"	"葉家俊"	"Ye Jiajun"	"Cornell"	"M.C.E."		93	116
"Engineering"	"Railway Engineering"	"Education"	"R00007"	"N00006"		"Chia-Tsun Yeh"	"葉家俊"	"Ye Jiajun"	"Michigan"	"M.S."		93	116
"Engineering"	"Naval Construction"	"Education"	"R00091"	"N00084"		"Yun-Chiao Yeh"	"葉雲樵"	"Ye Yunqiao"	"M.I.T."	"Ph.D."		100	123
"Engineering"	"Architecture"	"Education"	"R00074"	"N00067"		"Dayu Doon"	"董夫酉"	"Dong Fuyou"	"Minnesota"	"M.Arch."		98	121
"Engineering"	"Engineering Research"	"Education"	"R00144"	"N00134"	"Prof."	"Fang-Yin Tsai"	"蔡方蔭"	"Cai Fangyin"	"M.I.T."	"B.S."		105	128
"Engineering"	"Textile Engineering"	"Education"	"R00093"	"N00086"		"Y. Tsai"	"蔡雄"	"Cai Xiong"	"Pittsburgh"	"B.S."		100	123
"Engineering"	"River Conservancy"	"Education"	"R00023"	"N00022"		"T. P. Hsueh"	"薛卓斌"	"Xue Zhuobin"	"M.I.T."	"M.S."		94	117
"Engineering"	"Municipal Works"	"Education"	"R00082"	"N00075"		"T. S. Sih"	"薛次莘"	"Xue Cishen"	"M.I.T."	"B.S."		99	122
"Engineering"	"Textile Engineering"	"Education"	"R00095"	"N00088"		"Hsueh Tsu-kang"	"薛祖康"	"Xue Zukang"	"M.I.T."	"B.S."		100	123
"Engineering"	"Engineering Research"	"Education"	"R00140"	"N00130"	"Prof."	"A. P. T. San"	"薩本楝"	"Sa Benlian"	"Worcester Tech."	"Ph.D."		105	128
"Engineering"	"Railway Engineering"	"Education"	"R00003"	"N00003"		"F. K. Sah"	"薩福均"	"Sa Fujun"	"Purdue"	"B.S."		92	115
"Engineering"	"Municipal Works"	"Education"	"R00083"	"N00076"		"H. C. Chiu"	"裘錫鈞"	"Qiu Xijun"	"Cornell"	"M.C.E."		99	122
"Engineering"	"Electrical Power Engineering"	"Education"	"R00108"	"N00101"		"K. Hsu"	"許坤"	"Xu Kun"	"Cornell"	"M.E.E."		102	125
