"MainField"	"Subfield"	"Affiliation_type"	"RecId"	"NameID"	"FullName"	"Chinese"	"Pinyin"	"Organisation"	"Type"	"Sublevel"	"Position"	"Rank"	"Status"	"Year_start"	"Year_end"	"Page"	"PDF"	"other_source"	
"Engineering"	"Chemical Engineering"	"Position"	"R00059"	"N00029"	"Z. C. Page"	"戴濟"	"Dai Ji"	"Yuan-Fong Color Works"	"Factory/mine/station"		"Engineer"		"Current"			95	118		
"Engineering"	"Mining Engineering"	"Position"	"R00074"	"N00036"	"Tseng Yang-Fu"	"曾養甫"	"Ceng Yangfu"	"Ministry of Railways"	"Central government/administration"		"Vice-minister"	1	"Current"			95	118		
"Engineering"	"Mining Engineering"	"Position"	"R00073"	"N00036"	"Tseng Yang-Fu"	"曾養甫"	"Ceng Yangfu"	"National Construction Commission"	"Central government/administration"		"Vice-president"	1	"Current"			95	118		
"Engineering"	"Mining Engineering"	"Position"	"R00071"	"N00036"	"Tseng Yang-Fu"	"曾養甫"	"Ceng Yangfu"	"Chang-shing Coal Mines"	"Factory/mine/station"				"Current"			95	118		
"Engineering"	"Mining Engineering"	"Position"	"R00070"	"N00036"	"Tseng Yang-Fu"	"曾養甫"	"Ceng Yangfu"	"Pittsburgh Valley Mining Company"	"Factory/mine/station"		"Assistant engineer"		"Past"			95	118		
"Engineering"	"Mining Engineering"	"Position"	"R00072"	"N00036"	"Tseng Yang-Fu"	"曾養甫"	"Ceng Yangfu"	"Wei-Nan Coal Mines"	"Factory/mine/station"				"Current"			95	118		
"Engineering"	"Architecture"	"Position"	"R00111"	"N00062"	"Pin Chu"	"朱彬"	"Zhu Bin"	"Kwan"	" Chu and Yang Architects and Engineers"	"Private company"				"Current"			98	121	
"Engineering"	"Municipal Works"	"Position"	"R00121"	"N00077"	"Y. T. Chu"	"朱胞廷"	"Zhu Baoting"	"Hangchow Municipal Government"	"Local government/administration"				"Past"			99	122		
"Engineering"	"Aeronautical Engineering"	"Position"	"R00091"	"N00048"	"Lynn Chu"	"朱霖"	"Zhu Lin"	"Sino-Italian National Aircraft Works"	"Factory/mine/station"		"Government representative"	1	"Current"			97	120		
"Engineering"	"River Conservancy"	"Position"	"R00047"	"N00020"	"Shu-t'ien Li"	"李世田"	"Li Shitian"	"National Peiyang Engineering College"	"Education/research"		"Dean"	1	"Current"			94	117		
"Engineering"	"River Conservancy"	"Position"	"R00046"	"N00020"	"Shu-t'ien Li"	"李世田"	"Li Shitian"	"North River Commission"	"Railway/Infrastructure"		"Executive member"	1	"Current"			94	117		
"Engineering"	"Electrical Communication"	"Position"	"R00174"	"N00109"	"S. M. Lee"	"李熙謀"	"Li Ximou"	"Chekiang Provincial Telephone Administration"	"Local government/administration"		"Engineer"	2	"Past"			103	126		
"Engineering"	"Chemical Engineering"	"Position"	"R00061"	"N00031"	"K. T. Lee"	"李祖範"	"Li Zufan"	"China Chemical Works"	" Ltd."	"Private company"		"Engineer"		"Current"			95	118	
"Engineering"	"Electrical Communication"	"Position"	"R00161"	"N00102"	"Lee Fang-Yi"	"李範一"	"Li Fanyi"	"National Construction Commission"	"Central government/administration"	"Radio administration"	"Assistant director"	2	"Current"			101	124		
"Engineering"	"Electrical Communication"	"Position"	"R00163"	"N00102"	"Lee Fang-Yi"	"李範一"	"Li Fanyi"	"International Radio Station"	"Factory/mine/station"				"Past"			101	124		
"Engineering"	"Electrical Manufacture"	"Position"	"R00188"	"N00119"	"John Y. Lee"	"李耀邦"	"Li Yaobang"	"China Scientific Instrument Company"	"Private company"				"Current"			104	127		
"Engineering"	"Railway Engineering"	"Position"	"R00037"	"N00012"	"Y. Lee"	"李育"	"Li Yu"	"Hunan-Kweichow Railway"	"Railway/Infrastructure"		"Assistant director"	2	"Current"			93	116		
"Engineering"	"Engineering Research"	"Position"	"R00205"	"N00131"	"Y. W. Lee"	"李郁榮"	"Li Yurong"	"Tsing-Hua University"	"Education/research"		"Professor"		"Current"			105	128		
"Engineering"	"Railway Engineering"	"Position"	"R00031"	"N00010"	"C. Y. Tu"	"杜鎭遠"	"Du Zhenyuan"	"Chekiang Kiangsi Railway"	"Railway/Infrastructure"		"Director"	1	"Current"			93	116		
"Engineering"	"Railway Engineering"	"Position"	"R00032"	"N00010"	"C. Y. Tu"	"杜鎭遠"	"Du Zhenyuan"	"Chekiang Kiangsi Railway"	"Railway/Infrastructure"		"Chief engineer"	1	"Current"			93	116		
"Engineering"	"Railway Engineering"	"Position"	"R00029"	"N00010"	"C. Y. Tu"	"杜鎭遠"	"Du Zhenyuan"	"Hangchow-Kiangsan Railway"	"Railway/Infrastructure"		"Director"	1	"Past"			93	116		
"Engineering"	"Railway Engineering"	"Position"	"R00030"	"N00010"	"C. Y. Tu"	"杜鎭遠"	"Du Zhenyuan"	"Hangchow-Kiangsan Railway"	"Railway/Infrastructure"		"Chief engineer"	1	"Past"			93	116		
"Engineering"	"Engineering Research"	"Position"	"R00214"	"N00140"	"T. M.  Tu"	"杜長明"	"Du Changming"	"National Central University"	"Education/research"		"Professor"		"Current"			105	128		
"Engineering"	"Architecture"	"Position"	"R00112"	"N00063"	"T. P. Yang"	"楊廷寶"	"Yang Tingbao"	"Kwan"	" Chu and Yang Architects and Engineers"	"Private company"				"Current"			98	121	
"Engineering"	"Electrical Manufacture"	"Position"	"R00180"	"N00114"	"C. S. Yang"	"楊景時"	"Yang Jingshi"	"Chinese National Electric and Pottery Company"	"Private company"		"Founder"		"Past"			103	126		
"Engineering"	"Engineering Research"	"Position"	"R00198"	"N00126"	"S. L. Yang"	"楊肇燫"	"Yang Zhaolian"	"Academia Sinica"	"Education/research"	"Institute of physics"	"Researcher"		"Current"			105	128		
"Engineering"	"Engineering Research"	"Position"	"R00196"	"N00124"	"C. Yang"	"楊銓"	"Yang Quan"	"Academia Sinica"	"Education/research"		"Founder"		"Past"			105	128		
"Engineering"	"River Conservancy"	"Position"	"R00043"	"N00017"	"Woodson Wang"	"汪胡植"	"Wang Huzhi"	"Huai River Commission"	"Railway/Infrastructure"		"Chief engineer"	1	"Current"			94	117		
"Engineering"	"Municipal Works"	"Position"	"R00122"	"N00078"	"S. C. Shen"	"沈叔成"	"Shen Shucheng"	"Hangchow Municipal Government"	"Local government/administration"				"Past"			99	122		
"Engineering"	"Municipal Works"	"Position"	"R00118"	"N00074"	"Shen Yi"	"沈怡"	"Shen Yi"	"City Government of Greater Shanghai"	"Local government/administration"	"Bureau of Public Works"	"Director"	1	"Current"			99	122		
