"","Organization","degree2","eigen2","betw2","close2","Type","Type2"
"95","Columbia University",0.229946524064171,0.359776172587037,2156.12071479487,0.00144927536231884,"Education","US"
"96","Comparative Law School",0.0454545454545455,0.0650063551218524,5.888533692624,0.00127064803049555,"Education","China"
"97","Continental Bank",0.0695187165775401,0.0513155809208645,3.37492408359621,0.00121654501216545,"Business","Finance"
"98","Continental Bank and Trust Co",0.0695187165775401,0.0513155809208645,3.37492408359621,0.00121654501216545,"Business","Finance"
"99","Cornell Association of Civil Engineers",0.0935828877005348,0.0574305899789667,2.18104109254107,0.00119760479041916,"Association",NA
"100","Cornell University",0.0935828877005348,0.0574305899789667,2.18104109254107,0.00119760479041916,"Education","US"
"101","Cosmopolitan Club",0.0454545454545455,0.0542968834945656,0.061110520166604,0.00128369704749679,"Association",NA
"102","Customs College",0.0320855614973262,0.0437407443832714,1.98331126106582,0.00125470514429109,"Education","China"
"103","Dah Hsia University",0.0454545454545455,0.0650063551218524,5.888533692624,0.00127064803049555,"Education","China"
"104","Day & Klauder",0.0294117647058824,0.0521139388550733,3.31509918840486,0.00120192307692308,"Business","Architect"
"105","De Witt Clinton High School",0.0828877005347594,0.1131383568053,12.4424454522412,0.00134048257372654,"Education","US"
"106","Delta Kappa Epsilon",0.018716577540107,0.047924602694268,1.36863843614232,0.0011037527593819,"Association",NA
"107","Delta Tau Delta",0.0374331550802139,0.072575428752292,7.34626958886198,0.00111234705228031,"Association",NA
"108","Denison University",0.0267379679144385,0.0282849554760414,1.00393933010917,0.00111731843575419,"Education","US"
"109","E Club (Washington)",0.0427807486631016,0.0589846401110533,0.94818605278356,0.0011454753722795,"Association",NA
"110","Edward Shank Architects",0.0828877005347594,0.1131383568053,12.4424454522412,0.00134048257372654,"Business","Architect"
"111","Emerson Institute",0.0427807486631016,0.0589846401110533,0.94818605278356,0.0011454753722795,"Other","Research"
"112","Episcopal Board of Missions",0.0989304812834225,0.161407551919622,9.58489108087432,0.00134952766531714,"Other","Religion"
"113","Eta Chi Sigma",0.0374331550802139,0.0606788155295702,5.53969811306975,0.0012531328320802,"Association",NA
"114","Far Eastern Conference (Chicago)",0.0454545454545455,0.0650063551218524,5.888533692624,0.00127064803049555,"Other","Conference"
"115","Fessenden & Holcomb",0.0374331550802139,0.0879068770665483,5.0456022948107,0.00131406044678055,"Business","Architect"
"116","First Judicial Circuit of Hawaii",0.0508021390374332,0.0962412430845703,5.94913795405914,0.0010989010989011,"Other","Judiciary"
"117","First National Bank",0.0695187165775401,0.0513155809208644,3.37492408359621,0.00121654501216545,"Business","Finance"
"118","First National Hydraulic Laboratory",0.0935828877005348,0.0574305899789668,2.18104109254107,0.00119760479041916,"Other","Research"
"119","Fleming Franklin & Allman",0.0588235294117647,0.149772478808816,64.7481064647904,0.00114285714285714,"Business",NA
"120","Flip Flap",0.168449197860963,0.25523814939011,373.313896056146,0.00130378096479791,NA,NA
"121","Foreign Y.M.C.A",0.120320855614973,0.193013715503329,91.9085152842356,0.00124378109452736,"Association",NA
"122","Franklin & Harrington",0.0695187165775401,0.166040856716776,42.5094730169336,0.00114942528735632,"Business",NA
"123","Franklin Academy",0.0508021390374332,0.0962412430845703,5.94913795405914,0.0010989010989011,"Education","US"
"124","Fukien University",0.0989304812834225,0.161407551919622,9.58489108087432,0.00134952766531714,"Education","China"
"125","Futan University",0.0454545454545455,0.0650063551218524,5.888533692624,0.00127064803049555,"Education","China"
"126","General Theological Seminary",0.0294117647058824,0.0463043107473505,4.06183138351976,0.00127064803049555,"Education","US"
"127","George Washington University",0.0427807486631016,0.0589846401110533,0.94818605278356,0.0011454753722795,"Education","US"
"128","Ginling College",0.155080213903743,0.246000017875722,522.814666042673,0.00137551581843191,"Education","China"
"129","Great Northern Port Development Commission",0.0935828877005348,0.0574305899789668,2.18104109254107,0.00119760479041916,"Administration","Local"
"130","Gymnasium (Berlin)",0.0427807486631016,0.0930235853892928,7.55217857554123,0.0012970168612192,"Education",NA
"131","Hai Ho Improvement Commission",0.0935828877005348,0.0574305899789667,2.18104109254107,0.00119760479041916,"Administration","Local"
"132","Han Yeh Ping Coal & Iron Works",0.018716577540107,0.0318375371395195,1.41932128925038,0.00115340253748558,"Facility",NA
"133","Hankow Chinese Race Club",0.0668449197860963,0.106815559277266,4.66289819388815,0.00128865979381443,"Association",NA
"134","Hankow International Recreation Club",0.0668449197860963,0.106815559277266,4.66289819388815,0.00128865979381443,"Association",NA
"135","Harvard Alumni Review",0.0695187165775401,0.0513155809208645,3.37492408359621,0.00121654501216545,"Media","US"
"136","Harvard Club of Shanghai",0.114973262032086,0.136717955545839,396.714792617713,0.00131578947368421,"Association",NA
"137","Harvard University",0.25668449197861,0.34564455382889,3275.203833878,0.00151285930408472,"Education","US"
"138","Higher Polytechnic School (Tientsin)",0.0695187165775401,0.0513155809208645,3.37492408359621,0.00121654501216545,"Education","China"
"139","Hopei Association of Engineers",0.0935828877005348,0.0574305899789667,2.18104109254107,0.00119760479041916,"Association",NA
