"","PlaceLabel","Degree","DegreeN","Eig","Betw","Close","PlaceNumber","NbElements","NbSets","PlaceDetail"
"158","P164(3-1)",4,0.021978021978022,0.00723176816719507,0,0.00190839694656489,164,3,1,"{Fritz_Chester;Painter_Wilfred L.;Smith_W. Rector} - {Washington}"
"159","P165(3-1)",1,0.00549450549450549,0.00145280546932864,0,0.00159235668789809,165,3,1,"{Hirsh_Cal S.;Howes_James Marvin;Irle_K.W.} - {Reed}"
"160","P166(3-1)",2,0.010989010989011,0.00568242113699793,0,0.0017825311942959,166,3,1,"{Howard_Hungerford B.;Siroff_Michael P.;Wong_James Norman} - {Southern California}"
"161","P167(3-1)",5,0.0274725274725275,0.00451620438185071,0,0.00175746924428822,167,3,1,"{Hunt_William P.;Li_Kang;Shen_T.C.} - {George Washington}"
"162","P168(3-1)",5,0.0274725274725275,0.00644638688335271,0,0.00181159420289855,168,3,1,"{Lockhart_Charles M.;Sah_F.K.;Yen_L.C.} - {Purdue}"
"163","P169(2-1)",1,0.00549450549450549,0.0239765283083298,0,0.00183823529411765,169,2,1,"{Baldwin_Berry O.;Plant_Woodforde H.} - {Trinity}"
"164","P170(2-1)",1,0.00549450549450549,0.00144683989400228,0,0.00155763239875389,170,2,1,"{Bates_Milton Marcus;Sun_Y.F. Ralph} - {Brown}"
"165","P172(2-1)",3,0.0164835164835165,0.0315818591981099,0,0.00189035916824197,172,2,1,"{Davis_Monnett B.;Roberts_R.P.} - {Colorado}"
"166","P173(2-1)",1,0.00549450549450549,0.000192355339934191,0,0.00136612021857923,173,2,1,"{Harkson_US.;Miller_H.P.} - {Nebraska}"
"167","P175(2-1)",1,0.00549450549450549,0.00271883739429176,0,0.00161030595813205,175,2,1,"{Nichols_Ralph B.;Welch_Herbert} - {Wesleyan}"
"168","P177(1-1)",4,0.021978021978022,0.0309236207362129,0,0.0019723865877712,177,1,1,"{Bau_C.L.} - {Minnesota}"
"169","P180(1-1)",2,0.010989010989011,0.0513615118580952,0.03125,0.00191938579654511,180,1,1,"{Boynton_C.L.} - {Pomona}"
"170","P181(1-1)",1,0.00549450549450549,0.000134760144683013,0,0.00133511348464619,181,1,1,"{Brown_Irving S.} - {Drake}"
"171","P185(1-1)",1,0.00549450549450549,0.0298134938538128,0,0.00191570881226054,185,1,1,"{Chang_Samuel H.} - {Haverford}"
"172","P189(1-1)",1,0.00549450549450549,0.00144683989400228,0,0.00155763239875389,189,1,1,"{Crowe_John V.} - {Indiana}"
"173","P191(1-1)",1,0.00549450549450549,0.000899257629296955,0,0.00146842878120411,191,1,1,"{Drumright_E.F.} - {Oklahoma}"
"174","P195(1-1)",1,0.00549450549450549,0.00363428811239981,0,0.00161812297734628,195,1,1,"{Howe_Sam} - {Pratt Institute}"
"175","P196(1-1)",1,0.00549450549450549,0.00141161282197134,0,0.00158730158730159,196,1,1,"{Johnson_Truman R.} - {Occidental}"
"176","P197(1-1)",6,0.032967032967033,0.0411005701865013,0,0.00204918032786885,197,1,1,"{Lang_Bak Wah} - {Northwestern}"
"177","P198(1-1)",1,0.00549450549450549,0.00484584342413528,0,0.00158730158730159,198,1,1,"{Lee_Sik Chiu} - {New Bedford}"
"178","P199(1-1)",2,0.010989010989011,0.000930858289889863,0,0.00146842878120411,199,1,1,"{Lee_Tsu Hsien} - {Rensselaer Polytechnic Institute}"
"179","P201(1-1)",1,0.00549450549450549,0.00240606833947128,0,0.00167785234899329,201,1,1,"{Marchman_William R.} - {Washington & Lee}"
"180","P204(1-1)",4,0.021978021978022,0.0295593417332402,0,0.0019723865877712,204,1,1,"{Owyang_George T.} - {Ohio State}"
"181","P209(1-1)",3,0.0164835164835165,0.00387205643130683,0,0.00162866449511401,209,1,1,"{Rossiter_Fred J.} - {Iowa State}"
"182","P218(1-1)",3,0.0164835164835165,0.0282038569344709,0,0.00192307692307692,218,1,1,"{Vanderburgh_R.M.} - {Wooster}"
"183","P221(1-1)",1,0.00549450549450549,0.0244932373105026,0,0.00186567164179104,221,1,1,"{Wilbur_Hollis A.} - {Ohio Wesleyan}"
